2020-02-06 01:05:50	admin	http://localhost/processwire/api/pages/	Compile Error: 	require_once(): Failed opening required '/var/www/html/processwire/site/templates/inc/Rest.php' (include_path='.:/usr/share/php') (line 3 of /var/www/html/processwire/site/assets/cache/FileCompiler/site/templates/pages.php)
2020-02-06 01:05:55	admin	http://localhost/processwire/api/pages/1	Compile Error: 	require_once(): Failed opening required '/var/www/html/processwire/site/templates/inc/Rest.php' (include_path='.:/usr/share/php') (line 3 of /var/www/html/processwire/site/assets/cache/FileCompiler/site/templates/pages.php)
2020-02-06 02:30:30	guest	http://localhost/processwire/api/pages/	Fatal Error: 	Uncaught Error: Call to a member function query() on null in /var/www/html/processwire/site/assets/cache/FileCompiler/site/templates/pages.php:97 Stack trace: #0 /var/www/html/processwire/wire/core/TemplateFile.php(287): require() #1 /var/www/html/processwire/wire/core/Wire.php(380): ProcessWire\TemplateFile->___render() #2 /var/www/html/processwire/wire/core/WireHooks.php(823): ProcessWire\Wire->_callMethod('___render', Array) #3 /var/www/html/processwire/wire/core/Wire.php(450): ProcessWire\WireHooks->runHooks(Object(ProcessWire\TemplateFile), 'render', Array) #4 /var/www/html/processwire/wire/modules/PageRender.module(536): ProcessWire\Wire->__call('render', Array) #5 /var/www/html/processwire/wire/core/Wire.php(383): ProcessWire\PageRender->___renderPage(Object(ProcessWire\HookEvent)) #6 /var/www/html/processwire/wire/core/WireHooks.php(823): ProcessWire\Wire->_callMethod('___renderPage', Array) #7 /var/www/html/processwire/wire/core/Wire.php(450): ProcessWire\WireHooks->runHooks(Object(ProcessWire\PageRe (line 97 of /var/www/html/processwire/site/assets/cache/FileCompiler/site/templates/pages.php)
2020-02-06 02:32:44	guest	http://localhost/processwire/api/pages/	Fatal Error: 	Uncaught Error: Call to a member function query() on null in /var/www/html/processwire/site/assets/cache/FileCompiler/site/templates/pages.php:97 Stack trace: #0 /var/www/html/processwire/wire/core/TemplateFile.php(287): require() #1 /var/www/html/processwire/wire/core/Wire.php(380): ProcessWire\TemplateFile->___render() #2 /var/www/html/processwire/wire/core/WireHooks.php(823): ProcessWire\Wire->_callMethod('___render', Array) #3 /var/www/html/processwire/wire/core/Wire.php(450): ProcessWire\WireHooks->runHooks(Object(ProcessWire\TemplateFile), 'render', Array) #4 /var/www/html/processwire/wire/modules/PageRender.module(536): ProcessWire\Wire->__call('render', Array) #5 /var/www/html/processwire/wire/core/Wire.php(383): ProcessWire\PageRender->___renderPage(Object(ProcessWire\HookEvent)) #6 /var/www/html/processwire/wire/core/WireHooks.php(823): ProcessWire\Wire->_callMethod('___renderPage', Array) #7 /var/www/html/processwire/wire/core/Wire.php(450): ProcessWire\WireHooks->runHooks(Object(ProcessWire\PageRe (line 97 of /var/www/html/processwire/site/assets/cache/FileCompiler/site/templates/pages.php)
2020-02-06 02:35:48	guest	http://localhost/processwire/api/pages/	Fatal Error: 	Uncaught Error: Call to undefined method mysqli_result::fetch() in /var/www/html/processwire/site/assets/cache/FileCompiler/site/templates/pages.php:102 Stack trace: #0 /var/www/html/processwire/wire/core/TemplateFile.php(287): require() #1 /var/www/html/processwire/wire/core/Wire.php(380): ProcessWire\TemplateFile->___render() #2 /var/www/html/processwire/wire/core/WireHooks.php(823): ProcessWire\Wire->_callMethod('___render', Array) #3 /var/www/html/processwire/wire/core/Wire.php(450): ProcessWire\WireHooks->runHooks(Object(ProcessWire\TemplateFile), 'render', Array) #4 /var/www/html/processwire/wire/modules/PageRender.module(536): ProcessWire\Wire->__call('render', Array) #5 /var/www/html/processwire/wire/core/Wire.php(383): ProcessWire\PageRender->___renderPage(Object(ProcessWire\HookEvent)) #6 /var/www/html/processwire/wire/core/WireHooks.php(823): ProcessWire\Wire->_callMethod('___renderPage', Array) #7 /var/www/html/processwire/wire/core/Wire.php(450): ProcessWire\WireHooks->runHooks(Object(ProcessWire (line 102 of /var/www/html/processwire/site/assets/cache/FileCompiler/site/templates/pages.php)
2020-02-06 02:44:20	guest	http://localhost/processwire/api/pages/	Error: 	Exception: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ''logs', 'ip', 'created_date', 'modified_date') VALUES (, 123.252.171.54, 2020-02' at line 1 (in /var/www/html/processwire/wire/core/Database.php line 125)
2020-02-06 02:44:35	guest	http://localhost/processwire/api/pages/	Error: 	Exception: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ''logs', 'ip', 'created_date', 'modified_date') VALUES (scsd, 123.252.171.54, 202' at line 1 (in /var/www/html/processwire/wire/core/Database.php line 125)
2020-02-06 02:45:12	guest	http://localhost/processwire/api/pages/	Error: 	Exception: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '.171.54, 2020-02-06 02:45:12, 2020-02-06 02:45:12)' at line 1 (in /var/www/html/processwire/wire/core/Database.php line 125)
2020-02-06 02:56:00	guest	http://localhost/processwire/api/pages/	Error: 	Exception: Table 'p2.some_table' doesn't exist (in /var/www/html/processwire/wire/core/Database.php line 125)
2020-02-06 04:38:58	guest	http://localhost/processwire/api/pages/	Fatal Error: 	Uncaught Error: Cannot pass parameter 2 by reference in /var/www/html/processwire/site/assets/cache/FileCompiler/site/templates/pages.php:112 Stack trace: #0 /var/www/html/processwire/wire/core/TemplateFile.php(287): require() #1 /var/www/html/processwire/wire/core/Wire.php(380): ProcessWire\TemplateFile->___render() #2 /var/www/html/processwire/wire/core/WireHooks.php(823): ProcessWire\Wire->_callMethod('___render', Array) #3 /var/www/html/processwire/wire/core/Wire.php(450): ProcessWire\WireHooks->runHooks(Object(ProcessWire\TemplateFile), 'render', Array) #4 /var/www/html/processwire/wire/modules/PageRender.module(536): ProcessWire\Wire->__call('render', Array) #5 /var/www/html/processwire/wire/core/Wire.php(383): ProcessWire\PageRender->___renderPage(Object(ProcessWire\HookEvent)) #6 /var/www/html/processwire/wire/core/WireHooks.php(823): ProcessWire\Wire->_callMethod('___renderPage', Array) #7 /var/www/html/processwire/wire/core/Wire.php(450): ProcessWire\WireHooks->runHooks(Object(ProcessWire\PageRender (line 112 of /var/www/html/processwire/site/assets/cache/FileCompiler/site/templates/pages.php)
2020-02-06 04:40:41	guest	http://localhost/processwire/api/pages/	Error: 	Exception: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ''logs', 'ip') VALUES (scsd, 123.252.171.54)' at line 1 (in /var/www/html/processwire/site/assets/cache/FileCompiler/site/templates/pages.php line 113)
2020-02-06 04:41:30	guest	http://localhost/processwire/api/pages/	Error: 	Exception: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ''logs', 'ip', 'created_date', 'modified_date') VALUES (scsd, 123.252.171.54, 202' at line 1 (in /var/www/html/processwire/site/assets/cache/FileCompiler/site/templates/pages.php line 113)
2020-02-06 04:42:02	guest	http://localhost/processwire/api/pages/	Error: 	Exception: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ''logs', 'ip', 'created_date', 'modified_date') VALUES (scsd, 123.252.171.54, 202' at line 1 (in /var/www/html/processwire/site/assets/cache/FileCompiler/site/templates/pages.php line 113)
2020-02-06 04:42:31	guest	http://localhost/processwire/api/pages/	Error: 	Exception: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ''logs', 'ip', 'created_date', 'modified_date')             VALUES (scsd, 123.252' at line 2 (in /var/www/html/processwire/site/assets/cache/FileCompiler/site/templates/pages.php line 118)
2020-02-06 04:43:39	guest	http://localhost/processwire/api/pages/	Error: 	Exception: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ''logs', 'ip', 'created_date', 'modified_date')             VALUES ('scsd', '123.' at line 2 (in /var/www/html/processwire/site/assets/cache/FileCompiler/site/templates/pages.php line 118)
2020-02-06 04:44:12	guest	http://localhost/processwire/api/pages/	Error: 	Exception: SQLSTATE[21S01]: Insert value list does not match column list: 1136 Column count doesn't match value count at row 1 (in /var/www/html/processwire/site/assets/cache/FileCompiler/site/templates/pages.php line 118)
2020-02-06 04:45:47	guest	http://localhost/processwire/api/pages/	Error: 	Exception: SQLSTATE[HY093]: Invalid parameter number: number of bound variables does not match number of tokens (in /var/www/html/processwire/site/assets/cache/FileCompiler/site/templates/pages.php line 119)
2020-02-06 05:01:50	guest	http://localhost/processwire/api/logs/	Error: 	Exception: SQLSTATE[23000]: Integrity constraint violation: 1048 Column 'logs' cannot be null (in /var/www/html/processwire/site/assets/cache/FileCompiler/site/templates/logs.php line 102)
2020-02-06 05:01:59	guest	http://localhost/processwire/api/logs/	Error: 	Exception: SQLSTATE[23000]: Integrity constraint violation: 1048 Column 'logs' cannot be null (in /var/www/html/processwire/site/assets/cache/FileCompiler/site/templates/logs.php line 102)
